1092152840: [(0, 1), (0, 3), (2, 3), (2, 4), (4, 5)]
1294458015: [(0, 4), (0, 5), (1, 4), (2, 3), (2, 4)]
1077982449: [(0, 4), (0, 5), (1, 3), (1, 4), (2, 3)]
1077982449: [(0, 4), (0, 5), (1, 3), (1, 4), (2, 3)]
1018893868: [(0, 4), (0, 5), (1, 3), (2, 3), (3, 4)]
237984999: [(0, 4), (1, 3), (2, 4), (2, 5), (3, 4)]
99449604: [(0, 2), (0, 4), (1, 3), (2, 3), (2, 5)]
99449604: [(0, 2), (0, 4), (1, 3), (2, 3), (2, 5)]
282599653: [(0, 2), (0, 4), (1, 4), (2, 5), (3, 4)]
2299845789: [(0, 2), (0, 4), (1, 2147483647), (2, 5), (3, 4)]
2276221433: [(0, 2), (0, 4), (1, 2147483647), (2, 5), (3, 4)]
4398990297: [(0, 4), (0, 2147483647), (2, 5), (2, 2147483647), (3, 4)]
4352556150: [(0, 3), (0, 4), (0, 2147483647), (1, 2147483647), (2, 5)]
4398990297: [(0, 3), (0, 2147483647), (1, 2147483647), (2, 5), (3, 4)]
4398990297: [(0, 3), (0, 2147483647), (1, 2147483647), (2, 5), (3, 4)]
4271516793: [(0, 5), (1, 2147483647), (2, 5), (3, 5), (4, 2147483647)]
